"input" "reason" "matches" "organism.shortName" "length" "primaryIdentifier" "class" "briefDescription"
"Medtr2g101190" "MATCH" "1" "M. truncatula Mt4.0v1" "8582" "Medtr2g101190" "Gene" "(1 of 2) PTHR24326:SF217 - HOMEOBOX-LEUCINE ZIPPER PROTEIN ATHB-15"
"Medtr2g082430" "MATCH" "1" "M. truncatula Mt4.0v1" "5788" "Medtr2g082430" "Gene" "(1 of 2) PTHR27003:SF26 - CALCIUM/CALMODULIN-REGULATED RECEPTOR-LIKE KINASE"
"Medtr3g117700" "MATCH" "1" "M. truncatula Mt4.0v1" "4166" "Medtr3g117700" "Gene" "(1 of 1) PTHR21234:SF16 - PROTEIN H14E04.2, ISOFORM C"
"Medtr5g089900" "MATCH" "1" "M. truncatula Mt4.0v1" "9053" "Medtr5g089900" "Gene" "(1 of 1) PTHR22870:SF219 - REGULATOR OF CHROMOSOME CONDENSATION (RCC1) FAMILY PROTEIN-RELATED"
"Medtr2g020820" "MATCH" "1" "M. truncatula Mt4.0v1" "2882" "Medtr2g020820" "Gene" ""
"Medtr8g015600" "MATCH" "1" "M. truncatula Mt4.0v1" "9406" "Medtr8g015600" "Gene" "(1 of 1) 1.4.1.4 - Glutamate dehydrogenase (NADP(+)) / Glutamic dehydrogenase"
"Medtr2g100230" "MATCH" "1" "M. truncatula Mt4.0v1" "6412" "Medtr2g100230" "Gene" "(1 of 1) PTHR24031:SF219 - ATP-DEPENDENT RNA HELICASE DDX5-RELATED"
"Medtr1g010070" "MATCH" "1" "M. truncatula Mt4.0v1" "3877" "Medtr1g010070" "Gene" "(1 of 1) PTHR11265 - S-ADENOSYL-METHYLTRANSFERASE MRAW"
"Medtr3g095660" "MATCH" "1" "M. truncatula Mt4.0v1" "3266" "Medtr3g095660" "Gene" "(1 of 1) KOG4636 - Uncharacterized conserved protein with TLDc domain"
"Medtr5g059820" "MATCH" "1" "M. truncatula Mt4.0v1" "5736" "Medtr5g059820" "Gene" "(1 of 3) 1.7.1.1 - Nitrate reductase (NADH) / Nitrate reductase (NADH(2))"
"Medtr7g031370" "MATCH" "1" "M. truncatula Mt4.0v1" "4963" "Medtr7g031370" "Gene" "(1 of 3) KOG0508//KOG4412 - Ankyrin repeat protein // 26S proteasome regulatory complex, subunit PSMD10"
"Medtr4g109010" "MATCH" "1" "M. truncatula Mt4.0v1" "6022" "Medtr4g109010" "Gene" "(1 of 33) PF07714//PF11721 - Protein tyrosine kinase (Pkinase_Tyr)  // Di-glucose binding within endoplasmic reticulum (Malectin)"
"Medtr1g034500" "MATCH" "1" "M. truncatula Mt4.0v1" "5890" "Medtr1g034500" "Gene" "(1 of 5) PTHR22952:SF144 - G-BOX-BINDING FACTOR 2-RELATED"
"Medtr3g109630" "MATCH" "1" "M. truncatula Mt4.0v1" "5466" "Medtr3g109630" "Gene" "(1 of 7) PF05664 - Plant family of unknown function (DUF810) (DUF810)"
"Medtr8g063790" "MATCH" "1" "M. truncatula Mt4.0v1" "5400" "Medtr8g063790" "Gene" "(1 of 6) 2.4.1.15//3.1.3.12 - Alpha,alpha-trehalose-phosphate synthase (UDP-forming) / UDP-glucose--glucose-phosphate glucosyltransferase // Trehalose-phosphatase / Trehalose 6-phosphate phosphatase"
"Medtr2g007340" "MATCH" "1" "M. truncatula Mt4.0v1" "948" "Medtr2g007340" "Gene" "(1 of 3) PTHR22763:SF88 - RING/U-BOX DOMAIN-CONTAINING PROTEIN"
"Medtr4g068520" "MATCH" "1" "M. truncatula Mt4.0v1" "2720" "Medtr4g068520" "Gene" "(1 of 7) PF05562 - Cold acclimation protein WCOR413 (WCOR413)"
"Medtr3g064460" "MATCH" "1" "M. truncatula Mt4.0v1" "2075" "Medtr3g064460" "Gene" ""
"Medtr4g045577" "MATCH" "1" "M. truncatula Mt4.0v1" "14615" "Medtr4g045577" "Gene" "(1 of 1) PTHR13923 - SEC31-RELATED PROTEIN"
"Medtr2g034650" "MATCH" "1" "M. truncatula Mt4.0v1" "6057" "Medtr2g034650" "Gene" "(1 of 2) PTHR23335:SF3 - CALMODULIN-BINDING TRANSCRIPTION ACTIVATOR 5-RELATED"
"Medtr8g032270" "MATCH" "1" "M. truncatula Mt4.0v1" "3482" "Medtr8g032270" "Gene" "(1 of 1) PTHR10491 - DTDP-4-DEHYDRORHAMNOSE REDUCTASE"
